file_path,timestamp,latitude,longitude
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00086.JPG,2006-01-01 09:20:27+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00087.JPG,2006-01-01 09:21:01+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00089.JPG,2006-01-01 09:30:04+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00090.JPG,2006-01-01 09:30:58+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00092.JPG,2006-01-01 09:32:14+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00094.JPG,2006-01-01 09:41:38+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00095.JPG,2006-01-01 09:41:47+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00097.JPG,2006-01-01 09:42:28+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00099.JPG,2006-01-01 09:51:27+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00101.JPG,2006-01-01 09:56:09+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00103.JPG,2006-01-01 10:00:38+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00104.JPG,2006-01-01 10:05:20+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00105.JPG,2006-01-01 10:25:41+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00107.JPG,2006-01-01 10:27:14+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00109.JPG,2006-01-01 10:28:05+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00110.JPG,2006-01-01 10:31:17+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00111.JPG,2006-01-01 10:41:07+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00112.JPG,2006-01-01 10:44:38+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00115.jpg,2006-01-01 12:14:54+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00116.JPG,2006-01-01 12:17:49+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00118.JPG,2006-01-01 12:58:30+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00119.JPG,2006-01-01 12:58:45+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00120.JPG,2006-01-01 12:59:15+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00121.JPG,2006-01-01 12:59:20+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00122.JPG,2006-01-01 12:59:34+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00123.JPG,2006-01-01 13:00:00+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00124.JPG,2006-01-01 17:38:38+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00125.JPG,2006-01-01 18:59:00+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00126.JPG,2006-01-01 18:59:08+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00127.JPG,2006-01-01 18:59:27+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\DSC00128.JPG,2006-01-01 19:05:29+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\family.JPG,2006-01-01 08:09:07+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\mamae.JPG,2005-12-30 14:17:10+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\pai shi.JPG,2006-01-01 08:11:39+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\pai.JPG,2006-01-01 10:05:20+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\paishiyu.JPG,2006-01-01 08:14:27+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\shi.JPG,2006-01-01 10:27:14+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\shimae.JPG,2006-01-01 09:41:47+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\yuki.JPG,2006-01-01 08:12:55+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\yuki1.JPG,2006-01-01 08:30:34+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.01\yuki2.JPG,2006-01-01 10:00:38+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00129.JPG,2006-01-02 11:58:28+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00130.JPG,2006-01-02 13:37:41+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00131.jpg,2006-01-02 13:38:24+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00133.jpg,2006-01-02 13:39:11+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00134.jpg,2006-01-02 13:42:24+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00135.jpg,2006-01-02 13:48:16+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00136.JPG,2006-01-02 13:50:06+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00137.JPG,2006-01-02 14:02:17+00:00,,
x:\Photos\FotosAntigas2001-2006\Shi no Japão\2006.01.02\DSC00138.JPG,2006-01-02 14:02:36+00:00,,
